City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,24,10,23,0.57,6,56,43,6
阿克苏地区,83,19,53,0.3,6,146,138,2
阿拉善盟,113,31,66,0.43,9,206,173,12
阿勒泰地区,44,2,20,0.35,6,93,87,9
阿里地区,63,13,31,0.6,4,126,114,7
安康,43,30,42,0.57,25,59,65,5
安庆,54,24,55,0.6,10,98,93,8
鞍山,35,19,34,0.69,17,74,69,5
安顺,37,9,14,0.57,6,65,72,6
安阳,46,32,43,2.28,38,58,61,7
白城,76,55,58,0.6,6,89,80,5
百色,61,25,60,0.9,13,109,112,11
白山,38,15,34,0.95,20,63,75,11
白银,76,9,26,0.6,11,125,129,8
保定,63,28,35,0.52,23,109,114,5
宝鸡,41,15,40,0.48,19,88,69,2
保山,37,8,36,0.55,7,73,64,7
包头,102,27,60,0.72,24,149,161,21
巴彦淖尔,103,27,72,0.37,11,137,162,4
巴中,25,10,18,0.63,10,44,49,2
北海,29,8,19,0.75,9,58,57,7
北京,58,40,48,0.77,30,76,80,2
蚌埠,78,57,83,0.57,25,55,67,6
本溪,30,10,29,0.82,12,50,48,9
毕节,36,4,10,0.65,4,83,71,6
滨州,45,7,18,0.5,10,93,88,8
博州,61,9,32,0.3,5,125,111,5
亳州,22,4,21,0.65,15,46,37,7
沧州,33,20,31,0.17,25,59,64,11
长春,33,12,27,0.6,20,63,65,3
常德,41,5,14,0.66,5,87,80,8
昌都,38,16,0,0.8,13,54,75,8
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,71,18,40,1.45,31,0,124,27
长沙,71,19,36,0.59,12,131,124,6
常熟,80,24,42,0.63,25,130,134,14
长治,48,17,22,0.68,21,100,94,6
常州,45,29,40,0.86,57,44,89,11
朝阳,37,12,26,0.57,9,78,73,6
潮州,37,8,36,0.87,5,81,61,10
承德,98,60,92,1.65,26,124,156,5
成都,32,10,18,0.68,23,57,63,6
郴州,36,7,26,0.9,13,82,71,16
赤峰,72,44,90,0.68,34,95,125,13
池州,64,24,30,0.53,17,111,115,7
重庆,76,25,43,0.88,26,139,130,6
崇左,49,10,48,0.6,10,51,68,4
楚雄州,27,6,10,0.45,6,56,53,6
滁州,65,33,60,0.6,24,87,116,9
大连,45,16,31,0.62,11,78,89,5
大理州,28,4,22,0.65,16,48,54,4
丹东,32,13,31,0.57,15,50,62,11
大庆,39,27,37,0.74,18,76,65,7
大同,72,18,31,0.68,17,126,125,43
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,34,7,15,0.5,7,70,67,4
达州,35,19,33,0.5,23,83,68,9
德宏州,26,10,15,0.55,12,41,50,13
德阳,28,6,20,0.63,11,52,55,4
德州,51,30,50,0.57,9,89,73,12
定西,81,22,36,0.2,6,120,136,3
迪庆州,34,2,13,0.7,6,74,66,10
东莞,36,12,25,0.43,14,51,71,4
东营,45,10,26,0.23,10,99,89,6
鄂尔多斯,100,20,57,0.62,13,173,159,8
恩施州,31,13,22,0.85,11,79,61,6
